index,time,abs_correlation_sum,correlation_sum_threshold,threshold_metric,metric_input,template,snr
82,2016-09-26T03:46:00.168400Z,3.6736266613,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.65127670586
83,2016-09-26T03:46:17.428400Z,4.68162059784,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.38933457252
84,2016-09-26T04:06:50.268400Z,3.84107327461,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.32629389197
85,2016-09-26T04:20:26.778400Z,4.93841123581,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.4881956207
86,2016-09-26T04:59:06.738400Z,3.89583301544,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.70644607564
87,2016-09-26T04:59:24.628400Z,5.41863298416,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.63152400845
88,2016-09-26T04:59:47.868400Z,4.53905677795,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.71656844241
89,2016-09-26T05:00:21.028400Z,3.74280142784,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.09897687535
90,2016-09-26T05:01:17.328400Z,4.83434247971,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.19980666477
91,2016-09-26T05:18:28.778400Z,5.0985789299,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.44390737788
92,2016-09-26T05:19:09.868400Z,3.15320491791,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.50150896595
93,2016-09-26T05:20:12.028400Z,3.1847641468,3.04504346848,MAD,8.0,1970_01_01t00_00_17,8.0047277203
94,2016-09-26T05:20:20.218400Z,6.22458553314,3.04504346848,MAD,8.0,1970_01_01t00_00_17,7.13887071601
95,2016-09-26T05:20:38.178400Z,3.77586889267,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.25584448087
96,2016-09-26T05:21:05.248400Z,4.48866605759,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.60816594939
97,2016-09-26T05:54:20.128400Z,3.30911397934,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.82567412517
98,2016-09-26T05:56:12.648400Z,8.27124786377,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.4869634824
99,2016-09-26T05:56:41.148400Z,4.12169456482,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.06526111973
100,2016-09-26T05:57:10.888400Z,3.53145885468,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.30141057563
101,2016-09-26T07:02:22.838400Z,4.14330816269,3.04504346848,MAD,8.0,1970_01_01t00_00_17,7.19086622416
102,2016-09-26T07:03:34.328400Z,3.47526907921,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.33627422131
103,2016-09-26T07:06:27.618400Z,4.40917682648,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.26390275188
104,2016-09-26T07:08:23.318400Z,3.28262424469,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.87721386179
105,2016-09-26T07:16:05.868400Z,4.41049766541,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.97852948614
106,2016-09-26T07:16:17.798400Z,3.85532665253,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.75587998176
107,2016-09-26T07:18:06.868400Z,3.40727758408,3.04504346848,MAD,8.0,1970_01_01t00_00_17,7.48395513475
108,2016-09-26T07:18:40.238400Z,5.79794311523,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.97473941343
109,2016-09-26T07:19:12.298400Z,3.96456050873,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.38367552079
110,2016-09-26T07:22:28.378400Z,4.80701541901,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.60320689596
111,2016-09-26T07:23:33.928400Z,5.86750650406,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.90734550103
112,2016-09-26T07:24:02.758400Z,5.07393026352,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.46421798622
113,2016-09-26T07:25:20.828400Z,3.06716895103,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.45448522756
114,2016-09-26T07:26:10.058400Z,3.68843913078,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.27797641697
115,2016-09-26T07:26:52.558400Z,4.81847047806,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.4993225028
116,2016-09-26T07:33:54.208400Z,3.177744627,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.43585947331
117,2016-09-26T07:47:51.928400Z,4.52462625504,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.58296516697
118,2016-09-26T07:55:49.918400Z,3.73194813728,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.77401985003
119,2016-09-26T07:56:03.418400Z,3.83020353317,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.04362570413
120,2016-09-26T07:57:29.078400Z,3.26985287666,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.23831755181
121,2016-09-26T08:06:37.088400Z,3.39347052574,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.19949346539
122,2016-09-26T08:08:55.378400Z,4.37085533142,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.32905131476
123,2016-09-26T08:09:23.348400Z,5.86751842499,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.50381872901
124,2016-09-26T08:09:59.548400Z,3.50089740753,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.74867864609
125,2016-09-26T08:34:19.088400Z,3.98604774475,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.70071344034
126,2016-09-26T08:35:29.258400Z,3.10156035423,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.99448896177
127,2016-09-26T08:35:46.268400Z,3.38687205315,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.65627784359
128,2016-09-26T08:36:04.838400Z,4.54910039902,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.717265789
129,2016-09-26T08:36:13.658400Z,3.08553123474,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.51745687713
130,2016-09-26T08:36:32.768400Z,4.18419408798,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.43992837345
131,2016-09-26T08:36:52.828400Z,3.11593270302,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.37299779107
132,2016-09-26T08:51:53.578400Z,3.52666187286,3.04504346848,MAD,8.0,1970_01_01t00_00_17,7.78259112938
133,2016-09-26T09:12:39.838400Z,3.34610486031,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.3774431498
134,2016-09-26T09:24:43.328400Z,3.89504528046,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.66175283121
135,2016-09-26T09:25:06.088400Z,5.43565273285,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.40928311274
136,2016-09-26T09:25:45.968400Z,9.69221115112,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.44271859984
137,2016-09-26T09:25:54.028400Z,3.58171224594,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.32189057052
138,2016-09-26T10:15:20.068400Z,4.16918706894,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.5916594268
139,2016-09-26T10:15:52.578400Z,3.59778022766,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.26533589217
140,2016-09-26T10:16:03.688400Z,4.72885942459,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.29102447969
141,2016-09-26T10:16:56.588400Z,3.42246890068,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.42859051968
142,2016-09-26T10:17:38.988400Z,3.14711713791,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.99366273727
143,2016-09-26T10:18:10.148400Z,3.97700881958,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.04104019905
144,2016-09-26T10:18:46.098400Z,4.4475684166,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.93673548156
145,2016-09-26T10:18:59.658400Z,5.94837141037,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.18499415803
146,2016-09-26T10:30:44.538400Z,4.53649902344,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.13376746481
147,2016-09-26T10:42:11.448400Z,3.27264451981,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.93468505948
148,2016-09-26T10:48:11.218400Z,3.32411575317,3.04504346848,MAD,8.0,1970_01_01t00_00_17,7.71501081543
149,2016-09-26T10:49:12.648400Z,3.204672575,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.15787988827
150,2016-09-26T10:49:52.358400Z,4.39130878448,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.61470059202
151,2016-09-26T10:50:35.568400Z,5.56312656403,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.08280202789
152,2016-09-26T10:50:52.108400Z,4.26036739349,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.58385066471
153,2016-09-26T11:11:16.258400Z,3.7261288166,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.15849125975
154,2016-09-26T11:11:26.058400Z,3.52448225021,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.03242595829
155,2016-09-26T11:11:35.308400Z,3.55862736702,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.93316395974
156,2016-09-26T11:11:48.548400Z,6.07716989517,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.85139920848
157,2016-09-26T11:13:00.318400Z,5.33750581741,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.18068794576
158,2016-09-26T11:22:09.778400Z,3.54141569138,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.47699453972
159,2016-09-26T11:48:46.468400Z,3.50844454765,3.04504346848,MAD,8.0,1970_01_01t00_00_17,7.30321468906
160,2016-09-26T11:49:51.568400Z,4.28667259216,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.53172039786
161,2016-09-26T11:50:13.498400Z,5.65689754486,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.72555025197
162,2016-09-26T11:50:26.668400Z,3.07596921921,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.44396905033
163,2016-09-26T11:50:37.468400Z,5.20831108093,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.65063235597
164,2016-09-26T11:51:14.898400Z,3.77872920036,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.47558016636
165,2016-09-26T11:51:45.638400Z,4.74455976486,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.4843112469
166,2016-09-26T11:52:21.308400Z,4.16072034836,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.05731311475
167,2016-09-26T12:43:00.928400Z,3.97389888763,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.81649170344
168,2016-09-26T12:43:57.738400Z,3.33598256111,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.2451222766
169,2016-09-26T12:44:20.278400Z,5.4565076828,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.74428121747
170,2016-09-26T12:44:37.948400Z,3.22420883179,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.51165743426
171,2016-09-26T12:44:50.618400Z,5.41597700119,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.89806625556
172,2016-09-26T12:45:06.668400Z,3.88318920135,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.97202292584
173,2016-09-26T12:45:44.548400Z,3.10071063042,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.08568932307
174,2016-09-26T13:21:13.078400Z,5.28040552139,3.04504346848,MAD,8.0,1970_01_01t00_00_17,7.07357906081
175,2016-09-26T13:23:26.378400Z,4.31951141357,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.36330620619
176,2016-09-26T13:24:15.758400Z,3.85476875305,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.76008584268
177,2016-09-26T13:25:11.518400Z,4.33480358124,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.9358791478
178,2016-09-26T13:29:30.238400Z,3.56281256676,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.89832124524
179,2016-09-26T13:49:39.578400Z,5.06966781616,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.01419775426
180,2016-09-26T13:49:58.658400Z,3.80853438377,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.85041914819
181,2016-09-26T13:50:18.248400Z,3.09345507622,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.88370221885
182,2016-09-26T13:50:40.548400Z,6.14604616165,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.67330031764
183,2016-09-26T13:51:15.528400Z,3.43388605118,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.86643271289
184,2016-09-26T13:51:32.398400Z,4.73655653,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.19901820796
185,2016-09-26T14:20:03.998400Z,4.16041374207,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.22798080704
186,2016-09-26T14:21:12.058400Z,4.36641693115,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.03475831441
187,2016-09-26T14:21:26.118400Z,3.3865852356,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.4382929865
188,2016-09-26T14:21:58.548400Z,3.68453598022,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.86603684875
189,2016-09-26T14:22:27.598400Z,6.69388961792,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.09705074458
190,2016-09-26T14:22:54.158400Z,4.25493192673,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.40635032
191,2016-09-26T14:23:13.568400Z,3.68829751015,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.08835980884
192,2016-09-26T14:23:56.928400Z,4.60506629944,3.04504346848,MAD,8.0,1970_01_01t00_00_17,7.7884701471
193,2016-09-26T14:24:05.058400Z,5.63236045837,3.04504346848,MAD,8.0,1970_01_01t00_00_17,7.74234900385
194,2016-09-26T14:41:35.028400Z,3.34536647797,3.04504346848,MAD,8.0,1970_01_01t00_00_17,5.29972358888
